3/31	12:33	東京・富ヶ谷の私邸発 散歩
3/31	12:49	東京・目黒区の「駒場公園」に入る
3/31	12:54	花見客らと記念撮影（～13:34）
3/31	13:35	「駒場公園」を出る
3/31	13:59	私邸着 私邸前で記者団に対し、「いい花見ができた」などと述べる
3/31	14:17	私邸発
3/31	14:27	東京・渋谷の美容室「HAIR　GUEST」着　散髪
3/31	16:04	「HAIR　GUEST」発
3/31	16:27	東京・上野の「東京国立博物館」着　「両陛下と文化交流−日本美を伝える−」を鑑賞　記者団に対し、「天皇皇后両陛下が担われてきた文化交流の意義深さに思いをはせつつ、素晴らしい作品を拝見した」などと感想を述べる
3/31	17:06	「東京国立博物館」発
3/31	17:41	私邸着
3/30	8:17	東京・富ヶ谷の私邸発
3/30	8:27	東京・新宿区の「慶應義塾大学病院」着　人間ドックを受診
3/30	13:56	「慶應義塾大学病院」発
3/30	14:07	私邸着
3/29	8:18	東京・富ヶ谷の私邸発	
3/29	8:32	官邸着	
3/29	8:44	外国人材の受け入れ・共生に関する関係閣僚会議に出席（～8:55）	
3/29	9:01	閣議（～9:19）	
3/29	9:31	官邸発	
3/29	9:42	東京・中央区の大手食品メーカー「味の素」本社着　来月の働き方改革関連法の施行を前に、西井孝明社長から長時間労働の是正に向けた取り組みについて説明を受ける	
3/29	10:18	「味の素」本社発	
3/29	10:32	官邸着	
3/29	11:01	官邸発	
3/29	11:08	皇居着  内奏	
3/29	11:51	皇居発	
3/29	11:59	官邸着	
3/29	13:45	拉致問題対策本部の石川正一郎事務局長と面会（～14:17）	
3/29	15:40	麻生副総理兼財務大臣、財務省の岡本薫明事務次官と面会（～15:43）	
3/29	15:43	財務省の岡本事務次官が出て、麻生副総理兼財務大臣と面会（～16:10）	
3/29	16:26	兼原官房副長官補、外務省の秋葉剛男事務次官と面会（～16:58）	
3/29	17:03	北村滋内閣情報官と面会（～17:32）	
3/29	18:46	官邸発	
3/29	18:57	東京・港区の「東宮御所」着　皇太子さまと面会	
3/29	19:18	「東宮御所」発	
3/29	19:35	東京・銀座の日本料理店「室井」着　JR東海の葛西敬之名誉会長、北村内閣情報官と会食	夕食
3/29	21:47	「室井」発	
3/29	22:04	私邸着
3/28	9:33	公邸発	
3/28	9:34	官邸着	
3/28	10:15	自民党の細田健一衆議院議員と面会　西村官房副長官が同席（～10:25）	
3/28	11:17	防衛大学校の国分良成校長と面会（～11:27）	
3/28	11:56	公明党の山口代表と官邸の庭で桜を観賞　記者団に対し、皇位継承に伴う改元を前に、「みなさんの夢や希望が咲き誇る、そういう時代にしたい」と述べる（～12:00）	
3/28	12:02	公明党の山口代表と会食（～13:02）	
3/28	15:30	北村滋内閣情報官と面会（～15:49）	
3/28	15:52	世耕経済産業大臣、原田環境大臣らと面会（～16:37）	
3/28	16:38	谷内正太郎国家安全保障局長、北村内閣情報官、防衛省の槌道明宏防衛政策局長、自衛隊の河野克俊統合幕僚長と面会（～16:56）	
3/28	17:11	NSC＝国家安全保障会議の4大臣会合に出席　石井国土交通大臣らが同席（～17:37）	
3/28	18:17	官邸発	
3/28	18:34	東京・新宿のビル「壱丁目参番館」着 ビル内にある評論家の金美齢氏の事務所で、柴山文部科学大臣、世耕経済産業大臣、衛藤晟一総理大臣補佐官、自民党の萩生田光一幹事長代行、新藤義孝政務調査会長代理らと会食	
3/28	20:07	「壱丁目参番館」発	
3/28	20:24	東京・富ヶ谷の私邸着
3/27	7:47	東京・富ヶ谷の私邸発	
3/27	7:59	官邸着	
3/27	8:05	野上官房副長官と面会（～8:48）	
3/27	8:55	官邸発	
3/27	8:57	国会着	
3/27	8:59	参議院第１委員会室に入る	
3/27	9:01	参議院予算委員会が開会	
3/27	12:21	参議院予算委員会が散会	
3/27	12:22	参議院第１委員会室を出る	
3/27	12:23	国会発	
3/27	12:26	官邸着	
3/27	13:53	官邸発
3/27	13:55	国会着	
3/27	13:56	参議院議長応接室に入る	
3/27	13:57	参議院議長応接室を出て、本会議場に入る	
3/27	13:58	麻生副総理兼財務大臣、茂木経済再生担当大臣と会話（～13:59）	
3/27	14:01	参議院本会議が開会	
3/27	15:05	参議院本会議を途中退席し、本会議場を出る	
3/27	15:06	国会発	
3/27	15:08	官邸着	
3/27	16:58	官邸発	
3/27	17:00	国会着	
3/27	17:01	参議院議長応接室に入る	
3/27	17:04	参議院議長応接室を出る	
3/27	17:05	参議院の伊達忠一議長、郡司彰副議長、与野党の各会派にあいさつ回り　菅官房長官、野上官房副長官が同行（～17:17）	
3/27	17:19	国会内の総理大臣室に入る	
