6/30		終日、来客なく東京・富ヶ谷の私邸で過ごす

6/29	7:51	東京・富ヶ谷の私邸発
6/29	8:02	官邸着　右手を挙げて「おはよう」と２回答える
6/29	8:13	閣議（～8:22）
6/29	8:25	中央防災会議（～8:38）
6/29	8:39	小此木防災担当大臣と面会（～8:44）
6/29	9:55	麻生副総理兼財務大臣が、財務省の岡本薫明主計局長、星野次彦主税局長とともに面会（～10:50)
6/29	10:07	星野氏出る
6/29	10:38	岡本氏出る
6/29	10:51	麻生氏出る
6/29	11:08	アメリカのジェームズ・マティス国防長官と面会（～12:03）
6/29	13:28	報道各社のインタビュー<br>働き方改革関連法が成立したことについて「７０年ぶりの大改革だ。これからも働く人々の目線に立って改革を進めていきたい」と述べる
6/29	13:29	官邸発
6/29	13:44	東京・千代田区の日本歯科大学附属病院着　歯の治療
6/29	14:15	日本歯科大学附属病院発
6/29	14:36	官邸着
6/29	15:08	兼原信克官房副長官補、外務省の秋葉剛男事務次官と面会（～15:49）
6/29	15:50	日本国際問題研究所の野上義二前理事長、佐々江賢一郎新理事長と面会（～16:09)
6/29	16:10	警察庁の栗生俊一長官と面会（～16:35）
6/29	17:05	北村滋内閣情報官と面会（～17:3５）
6/29	18:26	官邸発
6/29	18:34	東京・赤坂のイタリア料理店「キッチャーノ」着　朝日新聞の曽我豪編集委員、読売新聞東京本社調査研究本部の小田尚客員研究員、毎日新聞の山田孝男特別編集委員、NHK名古屋放送局の島田敏男局長、日本テレビの粕谷賢之取締役・報道解説委員長、ＢＳジャパンの石川一郎社長、政治ジャーナリストの田崎史郎氏と会食
6/29	21:10	「キッチャーノ」発
6/29	21:31	私邸着
6/28	9:36	東京・富ヶ谷の私邸発
6/28	9:51	官邸着。「おはよう」とあいさつ
6/28	9:52	拉致問題対策本部の石川正一郎事務局長と面会（～10:35）
6/28	10:40	薗浦総理大臣補佐官と面会（～11:05)
6/28	11:13	世界経済フォーラム第４次産業革命日本センター設立のレセプションに向けたビデオメッセージ収録（～11:17）
6/28	11:48	自民党の武村展英衆議院議員、滋賀県守山市の市議会議員らと面会（～11:58）
6/28	11:59	北村滋内閣情報官と面会（～12:02）
6/28	15:06	防衛省の前田哲防衛政策局長と面会（～15:22）
6/28	15:23	外務省の鈴木哲総合外交政策局長、自衛隊の本松敬史統合幕僚副長と面会（～15:56）
6/28	16:00	外務省の森健良外務審議官、岡浩中東アフリカ局長と面会（～16:19）
6/28	16:28	官邸発
6/28	16:32	東京・赤坂のＡＮＡインターコンチネンタルホテル東京着。日本サービス大賞の表彰式に出席し「わが国のサービス業における生産性革命を力強く牽引して欲しい。政府としても、あらゆる政策を総動員してチャレンジを応援していきたい」とあいさつ
6/28	16:53	ＡＮＡインターコンチネンタルホテル東京発
6/28	16:57	官邸着
6/28	17:15	トルコのエルドアン大統領と電話会談（～17:25）
6/28	18:16	官邸発
6/28	18:27	東京・赤坂の飲食店「赤坂うまや」着。自民党の加藤寛治、鬼木誠 両衆議院議員ら九州・沖縄選出の衆参議員と会食。西村官房副長官が同席
6/28	20:22	「赤坂うまや」発
6/28	20:41	私邸着
6/27	9:11	東京・富ヶ谷の私邸発
6/27	9:24	官邸着　「おはよう」と言い入る
6/27	9:42	野上副長官、西村副長官と面会
6/27	9:50	野上副長官が出る
6/27	10:56	西村副長官が出る
6/27	10:57	官邸発
6/27	10:59	国会着
6/27	11:00	参議院議長応接室に入る　麻生副総理兼財務大臣も同席
6/27	11:09	議長応接室出る
6/27	11:09	参議院本会議場に入る　本会議に出席
6/27	12:09	議場出る
6/27	12:10	国会発
6/27	12:12	官邸着
6/27	14:51	官邸発
6/27	14:53	国会着
6/27	14:54	参議院第１委員会室に入る
6/27	15:00	党首討論始まる　立憲民主党の枝野代表が持ち時間を多く使って森友学園や加計問題をめぐる問題を追及したことについて「枝野代表の質問というより演説で党首討論の歴史的使命は終わってしまったと思った」と述べ批判（～15:55）
6/27	15:56	委員会室出る
6/27	15:57	国会発
6/27	15:59	官邸着
6/27	16:03	北村滋内閣情報官と面会（～16:13）
6/27	16:21	自民党の長坂康正衆議院議員と愛知県議会議員らと面会（～16:31）
6/27	16:41	共同通信社の水谷亨社長、福山正喜前社長、松浦基明政治部長らと面会　就任あいさつ（～17:01）
6/27	17:04	男女共同参画社会づくり功労者らへの表彰
6/27	17:20	功労者との懇談会に出席（～17:37）
6/27	18:23	官邸発　「どうも」と言いながら出る
6/27	18:37	新橋のお好み焼き店「広島焼HIDE坊　新橋本店」に入る　河井克行衆議院議員や大野敬太郎衆議院議員など１２人と会食	ｍ
6/26	7:47	公邸発
6/26	7:48	官邸着　右手を挙げておはようとあいさつ
6/26	7:55	野上官房副長官と打ち合わせ（～8:42）
6/26	9:03	閣議（～9:16）
6/26	9:48	官邸発
6/26	9:49	国会着
6/26	9:50	参議院第３１委員会室に入る
6/26	10:00	参議院内閣委員会開会
6/26	11:15	内閣委員会を途中退席し、第３１委員会室を出る
6/26	11:18	参議院第４１理事会室に入る
6/26	11:26	理事会室を出て参議院第４３委員会室に入る
6/26	11:29	参議院厚生労働委員会開会
6/26	13:05	厚生労働委員会休憩　委員会室を出る
6/26	13:06	国会発
6/26	13:09	官邸着
6/26	15:53	自民党の河井克行総裁外交特別補佐と面会（～16:18）
6/26	16:26	国際司法裁判所の裁判官に就任した岩澤雄司氏と面会（～16:42）<br>外務省の秋葉剛男事務次官、鈴木哲総合外交政策局長、三上正裕国際法局長同席
6/26	16:42	外務省の秋葉事務次官、鈴木総合外交政策局長と面会（～17:10）
6/26	17:10	秋葉事務次官と面会（～17:20）
6/26	17:21	谷内正太郎国家安全保障局長、北村滋内閣情報官、浦田啓一公安調査庁次長と面会（～17:33）
6/26	17:33	北村内閣情報官と面会（～17:43）
6/26	18:23	官邸発
6/26	18:31	東京・千代田区のホテルグランドパレス着<br>ホテル内の日本料理店「千代田」で読売新聞グループ本社の渡辺恒雄主筆と会食
6/26	20:59	ホテル発
6/26	21:16	東京・富ヶ谷の私邸着
6/25	8:41	東京・富ヶ谷の私邸発
6/25	8:56	官邸着
6/25	9:06	野上官房副長官と打ち合わせ（～9:54）
6/25	10:00	宇宙飛行士の山崎直子さんら「理工系女子応援大使」との意見交換（～10:42)
6/25	10:53	野上官房副長官との打ち合わせ（～11:39）
6/25	11:40	小野寺防衛大臣、防衛省の前田哲防衛政策局長、自衛隊の河野克俊統合幕僚長と面会（～11:58）
6/25	12:48	官邸発
6/25	12:51	国会着
6/25	12:52	参議院　第１委員会室に入る
6/25	12:53	麻生副総理兼財務大臣と会話（～12:59）
6/25	13:00	参議院予算委員会　開会
6/25	16:23	参議院予算委員会　散会
6/25	16:24	参議院　第１委員会室を出る
6/25	16:26	国会発
6/25	16:28	官邸着
6/25	16:29	自民党の大串正樹衆議院議員、兵庫県川西市議会の森本猛史議員と面会（～16:34）
6/25	16:57	官邸発
6/25	16:59	国会着
6/25	17:00	院内の自民党総裁室に入る
6/25	17:02	自民党役員会（～17:16）
6/25	17:18	自民党総裁室を出る
6/25	17:20	国会発
6/25	17:21	官邸着
6/25	17:51	松山科学技術担当大臣、内閣府宇宙開発戦略推進事務局の髙田修三事務局長と面会（～18:30）
6/25	18:35	官邸発
6/25	18:36	公邸着
6/25	19:00	公邸泊
6/24		午前中は来客なく、東京・富ヶ谷の私邸で過ごす
6/24	14:06	私邸発
6/24	14:22	東京・六本木のホテル「グランドハイアット東京」着　ホテル内の「NAGOMI　スパ　アンド　フィットネス」で運動
6/24	17:37	「グランドハイアット東京」発
6/24	17:59	私邸着
6/23	6:51	東京・富ヶ谷の私邸発
6/23	7:19	羽田空港着
6/23	7:45	羽田空港発（全日空463便）
6/23	10:12	那覇空港着
6/23	10:28	那覇空港発
6/23	10:57	沖縄県糸満市の平和祈念公園着
6/23	10:59	公園内にある国立沖縄戦没者墓苑で献花
6/23	11:01	国立沖縄戦没者墓苑発
6/23	11:04	公園内の沖縄平和祈念堂着 休憩を取る　福井沖縄・北方担当大臣も同席
6/23	11:47	沖縄平和祈念堂発
6/23	11:49	公園内の沖縄全戦没者追悼式の会場着　追悼式に出席し、正午に黙祷、その後のあいさつで「沖縄は２０万人もの尊い命が無残に奪われ、焦土と化した。すべての戦没者の無念を思うとき、胸の潰れる思いだ。戦争の惨禍を２度と繰り返さず万人が心豊かに暮らせる世の中を実現すると改めて誓う」と述べる
6/23	12:55	沖縄全戦没者追悼式の会場発
6/23	12:56	公園内の島守の塔着　献花
6/23	12:58	記者団のインタビュー　沖縄県名護市でアメリカ軍基地からの流れ弾の可能性がある銃弾のようなものが見つかったことについて「人命にも関わりかねない重大な問題だ。私からアメリカのハガティ駐日大使に協力を要請し、射撃場を当面使用しないということになっている」などと述べる（～13:05）
6/23	13:08	平和祈念公園発
6/23	13:33	那覇空港着
6/23	14:40	那覇空港発（全日空468便）
6/23	16:36	羽田空港着
6/23	16:52	羽田空港発
6/23	17:51	私邸着

6/22	8:51	公邸発
6/22	8:52	官邸着。「おはよう」と述べて、あいさつ
6/22	9:02	閣議（～9:14)
6/22	9:15	石井国土交通大臣と面会（～9:17）
6/22	9:18	内閣府の山西宏紀独立公文書管理監と面会（～9:35）
6/22	9:44	官邸発
6/22	9:57	東京・千代田区の日本歯科大学附属病院着。歯の治療
6/22	10:43	日本歯科大学附属病院発
6/22	11:00	官邸着
6/22	11:21	アメリカのハガティ駐日大使、茂木経済再生担当大臣と面会
6/22	12:26	ハガティ駐日大使が出る
6/22	12:35	茂木経済再生担当大臣が出る
6/22	13:45	国際協力銀行の前田匡史総裁らと面会（～14:00）
6/22	14:01	外務省の秋葉剛男事務次官と面会（～14:46）
6/22	15:03	拉致問題の解決を目指す超党派の議員連盟のメンバーと面会。「相互不信の殻を打ち破り、日本と北朝鮮が直接向き合って交渉しながら解決しなければならず、当然、それが拉致問題の解決に資するものでなければならない」と述べる（～15:19）
6/22	15:20	防衛省の前田哲防衛政策局長、自衛隊の河野克俊統合幕僚長と面会（～15:42)
6/22	15:43	拉致問題対策本部の石川正一郎事務局長と面会（～16:02）
6/22	16:03	麻生副総理兼財務大臣と面会（～16:13）
6/22	16:14	茂木経済再生担当大臣と面会（～16:36)
6/22	16:41	北村滋内閣情報官と面会
6/22	17:14	谷内正太郎国家安全保障局長、外務省の鈴木哲総合外交政策局長、防衛省の前田防衛政策局長、自衛隊の河野統合幕僚長が加わる
6/22	17:36	全員出る
6/22	17:57	「日本の美」総合プロジェクト懇談会の座長を務める俳優の津川雅彦さんと面会（～18:10）
6/22	18:11	「日本の美」総合プロジェクト懇談会・「ジャポニスム2018」総合推進会議に出席（～18:42）
6/22	18:44	官邸発
