5/31	午前中	東京・富ヶ谷の私邸で過ごす　来客なし
	16:11	私邸発
	16:24	官邸着
	16:30	菅官房長官、加藤厚生労働大臣、西村経済再生担当大臣、西村官房副長官、岡田官房副長官、杉田官房副長官、北村滋国家安全保障局長、和泉洋人総理大臣補佐官、長谷川栄一総理大臣補佐官、今井尚哉総理大臣補佐官、新型コロナウイルス感染症対策推進室の樽見英樹室長、外務省の秋葉剛男事務次官、厚生労働省の鈴木康裕医務技監と面会（～16:50）
	17:11	官邸発
	17:25	私邸着　来客なし
5/30	9:00	東京・富ヶ谷の私邸で、午前中は来客なく過ごす
	16:09	私邸発
	16:22	官邸着
	16:32	加藤厚生労働大臣、菅官房長官、西村経済再生担当大臣、西村明宏官房副長官、岡田直樹官房副長官、杉田和博官房副長官、北村滋国家安全保障局長、和泉洋人総理大臣補佐官、長谷川榮一総理大臣補佐官、今井尚哉総理大臣補佐官、新型コロナウイルス感染症対策推進室の樽見英樹室長、外務省の秋葉剛男事務次官、厚生労働省の鈴木康裕医務技監が入る
	16:55	杉田官房副長官、北村国家安全保障局長、外務省の秋葉事務次官が出る
	17:05	菅官房長官、西村経済再生担当大臣、西村官房副長官、岡田官房副長官、和泉総理大臣補佐官、長谷川総理大臣補佐官、今井総理大臣補佐官、新型コロナウイルス感染症対策推進室の樽見室長、厚生労働省の鈴木医務技監が出る
	17:08	加藤厚生労働大臣が出る
	17:09	北村国家安全保障局長、今井総理大臣補佐官、外務省の秋葉事務次官が入る
	17:16	今井総理大臣補佐官、外務省の秋葉事務次官が出る
	17:23	北村国家安全保障局長が出る
	17:27	官邸発
	17:40	私邸着

5/29	8:10	東京・富ヶ谷の私邸発
	8:20	官邸着
	8:27	閣議　緊急事態宣言の解除に伴い、きょうから、総理大臣と閣僚が一堂に会する通常の形で閣議を再開（～８：４０）
	8:49	岡田直樹官房副長官と面会（～９：０７）
	9:51	官邸発
	9:53	国会着
	9:54	参議院議長応接室に入る
	9:57	参議院議長応接室を出る　参議院本会議場に入る
	10:01	参議院本会議開会
	11:29	参議院本会議を途中退席
	11:31	国会発
	11:34	官邸着
	12:40	官邸屋上で東京都心上空を飛行した航空自衛隊の飛行隊「ブルーインパルス」を観覧（～１２：５１）
	14:02	西村経済再生担当大臣、内閣府の山崎重孝事務次官、田和宏審議官、多田明弘政策統括官、井上裕之政策統括官と面会（～１４：２２）
	14:55	北村滋国家安全保障局長、林肇官房副長官補、外務省の森健良外務審議官が入る
	15:10	林官房副長官補、森外務審議官が出る
	15:13	北村国家安全保障局長が出る
	15:14	瀧澤裕昭内閣情報官と面会（～１５：４８）
	15:57	経団連の定時総会向けのビデオメッセージ収録（～１６：１９）
	16:40	外務省の金杉憲治外務審議官、塚田玉樹地球規模課題審議官、厚生労働省の佐原康之総括審議官と面会（～１６：５５）
	17:01	経済財政諮問会議（～１８：０４）
	18:09	加藤厚生労働大臣、菅官房長官、西村経済再生担当大臣、西村明宏官房副長官、岡田官房副長官、杉田和博官房副長官、北村国家安全保障局長、和泉洋人総理大臣補佐官、長谷川榮一総理大臣補佐官、今井尚哉総理大臣補佐官、新型コロナウイルス感染症対策推進室の樽見英樹室長、外務省の秋葉剛男事務次官、厚生労働省の鈴木康裕医務技監と面会（～１８：２４）
	19:14	官邸発
	19:27	私邸着
5/28	9:42	私邸発
	9:54	官邸着
	11:49	内閣府の山崎重孝事務次官、外務省の森美樹夫アフリカ部長と面会（～11:59）
	14:05	林肇官房副長官補、今井尚哉総理大臣補佐官、外務省の秋葉剛男事務次官と面会（～14:32）
	14:41	自民党の高鳥修一総裁特別補佐と面会（～15:21）
	16:30	加藤厚生労働大臣、西村経済再生担当大臣、菅官房長官、西村官房副長官、岡田官房副長官、杉田官房副長官、北村滋国家安全保障局長、和泉洋人総理大臣補佐官、長谷川榮一総理大臣補佐官、今井総理大臣補佐官、新型コロナウイルス感染症対策推進室の樽見英樹室長、外務省の秋葉事務次官、厚生労働省の鈴木康裕医務技監と面会（～16:45）
	17:12	月例経済報告等に関する関係閣僚会議に出席（～17:24）
	17:26	西村経済再生担当大臣と面会（～17:36）
	18:59	官邸発
	19:11	私邸着
5/27	9:10	東京・富ヶ谷の私邸発
	9:22	官邸着
	9:33	政府与党政策懇談会（～9:44）
	9:46	自民党の二階幹事長と面会（～10:06）
	15:41	北村滋国家安全保障局長、瀧澤裕昭内閣情報官、外務省の山田重夫総合外交政策局長、防衛省の槌道明宏防衛政策局長、山崎幸二統合幕僚長と面会
	16:01	そのまま北村国家安全保障局長、外務省の秋葉事務次官と面会
	16:06	そのまま北村国家安全保障局長と面会（～16:13）
