4/30	（以下、すべて日本時間）11:08:00	インドネシア・ジャカルタの「ホテル・インドネシア・ケンピンスキー・ジャカルタ」で元日本留学生による表敬（～11:29）
	11:31	日系企業関係者と懇談（～12:16）
	13:16	カリバタ英雄墓地で献花（～13:41）
	14:30	政府専用機でインドネシア・ジャカルタ近郊のスカルノハッタ空港発
	19:00	ベトナム・ハノイのノイバイ国際空港着
	21:29	首相府でベトナムのファム・ミン・チン首相主催歓迎夕食会（～23:42）宿泊先の「ホテル・デュ・パルク・ハノイ」	〇
4/29	7:48	公邸発
	8:09	羽田空港着
	8:16	報道各社のインタビュー（～8:17）
	8:40	東南アジア、欧州歴訪のため、政府専用機でインドネシアに向け出発
	15:50	（以下すべて日本時間）インドネシア・ジャカルタ郊外のスカルノ・ハッタ国際空港着
	17:55	ジャカルタ郊外ボゴールの大統領宮殿で歓迎式典（～18:02）
	18:04	記念撮影　記帳 植樹式 (～18:11）
	18:13	インドネシアのジョコ大統領と首脳会談（～19:45）
	19:48	ジョコ大統領との共同記者発表（～20:01）
	20:19	ジョコ大統領主催の夕食会（～21:04）	○
	22:04	宿泊先の「ホテル・インドネシア・ケンピンスキー・ジャカルタ」で報道各社のインタビュー（～22:15）
4/28	8:13	徒歩で公邸発
	8:14	官邸着
	8:22	閣議（～8:33）
	8:42	磯崎仁彦官房副長官と面会（～9:10）
	10:33	自民党の棚橋泰文行政改革推進本部長らから提言書受け取り（～10:48）
	11:12	中谷元・首相補佐官、秋葉剛男国家安全保障局長、外務省の山田重夫、鈴木浩両外務審議官、船越健裕アジア大洋州局長、市川恵一北米局長、宇山秀樹欧州局長、小野啓一経済局長入る
	11:22	船越氏出る。中谷首相補佐官、秋葉国家安全保障局長、外務省の山田、鈴木両外務審議官、市川北米局長、宇山欧州局長、小野経済局長残る
	11:58	中谷、宇山両氏出る。秋葉国家安全保障局長、外務省の山田、鈴木両外務審議官、市川北米局長、小野経済局長残る
	12:10	全員出る
	12:51	官邸発
	12:53	国会着
	12:54	衆議院議長応接室に入る
	12:55	自民党の宮本周司参議院議員と面会（～12:59）
	13:00	同室を出る　衆議院本会議場に入る
	13:02	衆議院本会議開会
	13:11	衆議院本会議途中退席　衆議院本会議場を出る
	13:12	院内大臣室に入る
	13:26	同室を出る
	13:27	参議院第１委員会室に入る
	13:30	参議院内閣委員会再開
	14:37	参議院内閣委散会
	14:38	同室を出る
	14:40	国会発
	14:42	官邸着
	14:43	萩生田光一経済産業大臣、経産省の多田明弘事務次官、奈須野太産業技術環境局長、資源エネルギー庁の保坂伸長官と面会（～15:12）
	15:34	産経新聞のインタビュー（～16:00）
	16:01	秋葉国家安全保障局長、瀧澤裕昭内閣情報官と面会（～16:12）
	16:13	瀧澤内閣情報官と面会（～16:15）
	16:18	新しい資本主義実現会議（～17:12）
	18:30	ドイツのショルツ首相を出迎え
	18:31	儀仗（ぎじょう）隊による栄誉礼、儀仗（～18:36）
	18:40	ショルツ首相と首脳会談少人数会合（～19:09）
	19:11	ショルツ首相と首脳会談全体会合（～19:54）
	20:02	共同記者会見（～20:29）
	20:31	日独財界人の表敬（～20:45）
	20:46	徒歩で官邸発
	20:47	公邸着　岸田文雄首相主催の夕食会	○
	22:22	ショルツ首相を見送り（～22:24）
4/27	9:12	徒歩で公邸発
	9:13	官邸着
	9:17	秋葉剛男国家安全保障局長と面会（～9:32）
	9:33	米良はるかレディーフォー代表取締役ら社会的起業家と車座で意見交換（～10:31）
	12:02	官邸発
	12:04	自民党本部着
	12:11	参院選立候補予定者に公認証渡し（～12:16）
	12:17	香川県知事選立候補予定者に推薦証渡し（～12:19）
	12:21	同党の保岡宏武衆議院議員、川崎秀人衆議院議員と面会。遠藤利明同党選対委員長同席（～12:24）
	12:25	同所発
	12:27	官邸着
	12:50	広島市の松井一実市長と面会（～13:05）
	13:08	官邸発
	13:14	東京・紀尾井町のＮＨＫ千代田放送会館着。報道番組の収録
	14:44	同所発
	14:49	官邸着
	14:57	官邸発
	15:03	東京・内幸町の帝国ホテル着。宴会場「孔雀の間」で経済同友会通常総会に出席し、あいさつ
	15:16	同所発
	15:21	官邸着
	15:24	磯崎仁彦官房副長官、森昌文総理大臣補佐官、外務省の山田重夫外務審議官、植野篤志国際協力局長、加納雄大南部アジア部長、財務省の神田真人財務官と面会（～16:15）
	16:16	自民党の小野寺五典安全保障調査会長らから提言書受け取り（～16:33）
	16:35	デジタル田園都市国家構想実現会議（～16:59）
	17:16	経済財政諮問会議（～18:02）
